art_id,entity_text,doc_id,similarity,match_type,type_of_relation
491D6477_118,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
491D6477_148,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
491D6477_219,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
491D6477_220,"Ley de Amparo, Reglamentaria de los Articulos 103 y 107 de la Constitucion Politica de los Estados Unidos Mexicanos",A385FDA2,1.0,name,mencion_ley_oficial
491D6477_226,Ley General de Sociedades Mercantiles,AC301866,1.0,name,mencion_ley_oficial
E622A0D8_2,Ley de Planeacion,0DA13486,1.0,name,mencion_ley_oficial
E622A0D8_2,Ley del Sistema de Planeacion del Desarrollo de la Ciudad de Mexico,12DFAABB,1.0,name,mencion_ley_oficial
E622A0D8_5,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
E622A0D8_16,Ley de Planeacion,0DA13486,1.0,name,mencion_ley_oficial
E622A0D8_16,Ley de Planeacion,0DA13486,1.0,name,mencion_ley_oficial
E622A0D8_17,Ley de Planeacion,0DA13486,1.0,name,mencion_ley_oficial
E622A0D8_21,Ley General de Responsabilidades Administrativas,8C1C6521,1.0,name,mencion_ley_oficial
E622A0D8_21,Ley de Responsabilidades Administrativas de la Ciudad de Mexico,491D6477,1.0,name,mencion_ley_oficial
E622A0D8_23,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
E622A0D8_23,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
E622A0D8_23,Ley de Responsabilidades Administrativas de la Ciudad de Mexico,491D6477,1.0,name,mencion_ley_oficial
69638137_1,Ley de Proteccion y Fomento al Empleo para el Distrito Federal,B91AA4E5,1.0,name,mencion_ley_oficial
69638137_3,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
69638137_3,Ley de Proteccion y Fomento al Empleo para el Distrito Federal,B91AA4E5,1.0,name,mencion_ley_oficial
69638137_3,Ley de Proteccion y Fomento al Empleo para el Distrito Federal,B91AA4E5,1.0,name,mencion_ley_oficial
69638137_4,Ley Federal del Trabajo,1E67C48A,1.0,name,mencion_ley_oficial
E0644EAF_1,Ley de Seguridad Privada para el Distrito Federal,5443E289,1.0,name,mencion_ley_oficial
E0644EAF_2,Ley de Seguridad Privada para el Distrito Federal,5443E289,1.0,name,mencion_ley_oficial
E0644EAF_4,Ley Federal del Trabajo,1E67C48A,1.0,name,mencion_ley_oficial
E0644EAF_15,"Ley de Transparencia, Acceso a la Informacion Publica y Rendicion de Cuentas de la Ciudad de Mexico",95B2DA77,1.0,name,mencion_ley_oficial
E0644EAF_20,Ley General de Salud,3148910F,1.0,name,mencion_ley_oficial
37159EFC_3,Ley Federal de Derechos,B6666E18,1.0,name,mencion_ley_oficial
37159EFC_4,Reglamento de la Ley de Filmaciones del Distrito Federal,807464C1,1.0,name,mencion_ley_oficial
37159EFC_19,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
37159EFC_19,Codigo Fiscal de la Ciudad de Mexico,04ABBAED,1.0,name,mencion_ley_oficial
F1B29F7E_5,Codigo de Procedimientos Civiles para el Distrito Federal,35C270ED,1.0,name,mencion_ley_oficial
292100E1_1,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
292100E1_1,Constitucion Politica de los Estados Unidos Mexicanos,DC6DD9FF,1.0,name,mencion_ley_oficial
292100E1_2,Ley de Responsabilidad Ambiental de la Ciudad de Mexico,292100E1,1.0,name,mencion_ley_oficial
292100E1_2,Ley General del Equilibrio Ecologico y la Proteccion al Ambiente,625304FF,1.0,name,mencion_ley_oficial
292100E1_2,Ley General para la Prevencion y Gestion Integral de los Residuos,56269D17,1.0,name,mencion_ley_oficial
292100E1_2,Ley General de Desarrollo Forestal Sustentable,5D193F47,1.0,name,mencion_ley_oficial
292100E1_2,"Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano",17BBB14C,1.0,name,mencion_ley_oficial
292100E1_2,"Ley del Derecho al Acceso, Disposicion y Saneamiento del Agua de la Ciudad de Mexico",A4DE831B,1.0,name,mencion_ley_oficial
292100E1_2,Ley de Desarrollo Urbano del Distrito Federal,BA76459A,1.0,name,mencion_ley_oficial
292100E1_2,Ley de Residuos Solidos del Distrito Federal,82EC20CA,1.0,name,mencion_ley_oficial
292100E1_2,"Ley de Patrimonio Cultural, Natural y Biocultural de la Ciudad de Mexico",6F21C500,1.0,name,mencion_ley_oficial
292100E1_3,Ley General de Mecanismos Alternativos de Solucion de Controversias,51D7FDFE,1.0,name,mencion_ley_oficial
292100E1_3,Constitucion Politica de la Ciudad de Mexico,234F69A3,1.0,name,mencion_ley_oficial
292100E1_3,Ley Constitucional de Derechos Humanos y sus Garantias de la Ciudad de Mexico,690FA405,1.0,name,mencion_ley_oficial
292100E1_4,Reglamento de Impacto Ambiental y Riesgo,B848E072,1.0,name,mencion_ley_oficial
292100E1_6,Reglamento de Impacto Ambiental y Riesgo,B848E072,1.0,name,mencion_ley_oficial
292100E1_42,Ley Federal del Trabajo,1E67C48A,1.0,name,mencion_ley_oficial
292100E1_46,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
292100E1_75,Ley General de Mecanismos Alternativos de Solucion de Controversias,51D7FDFE,1.0,name,mencion_ley_oficial
292100E1_77,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
292100E1_78,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
292100E1_80,Codigo Nacional de Procedimientos Penales,514773BB,1.0,name,mencion_ley_oficial
