art_id,type_of_relation,art_id_buscar
E0644EAF_66,auto_referencia_articulo,E0644EAF_11
E0644EAF_66,auto_referencia_articulo,E0644EAF_21
E0644EAF_67,auto_referencia_articulo,E0644EAF_11
E0644EAF_68,auto_referencia_articulo,E0644EAF_11
E0644EAF_68,auto_referencia_articulo,E0644EAF_20
E0644EAF_69,auto_referencia_articulo,E0644EAF_11
E0644EAF_71,auto_referencia_articulo,E0644EAF_33
E0644EAF_71,auto_referencia_articulo,E0644EAF_54
E0644EAF_76,auto_referencia_articulo,E0644EAF_65
E0644EAF_81,auto_referencia_articulo,E0644EAF_79
37159EFC_25,auto_referencia_articulo,37159EFC_4
37159EFC_28,auto_referencia_articulo,37159EFC_33
292100E1_1,auto_referencia_articulo,292100E1_13
292100E1_6,auto_referencia_articulo,292100E1_53
292100E1_6,auto_referencia_articulo,292100E1_77
292100E1_19,auto_referencia_articulo,292100E1_22
292100E1_21,auto_referencia_articulo,292100E1_20
292100E1_32,auto_referencia_articulo,292100E1_19
292100E1_32,auto_referencia_articulo,292100E1_22
292100E1_34,auto_referencia_articulo,292100E1_33
292100E1_46,auto_referencia_articulo,292100E1_27BIS
292100E1_75,auto_referencia_articulo,292100E1_47
292100E1_82,auto_referencia_articulo,292100E1_421
3A2C8488_1,auto_referencia_articulo,3A2C8488_14
3A2C8488_1,auto_referencia_articulo,3A2C8488_12
3A2C8488_1,auto_referencia_articulo,3A2C8488_11
3A2C8488_1,auto_referencia_articulo,3A2C8488_16
3A2C8488_21,auto_referencia_articulo,3A2C8488_16
3A2C8488_46,auto_referencia_articulo,3A2C8488_49
3A2C8488_71,auto_referencia_articulo,3A2C8488_58
3A2C8488_127,auto_referencia_articulo,3A2C8488_128
3A2C8488_192,auto_referencia_articulo,3A2C8488_191
3A2C8488_226,auto_referencia_articulo,3A2C8488_267
293D2FA5_2,auto_referencia_articulo,293D2FA5_4
293D2FA5_3,auto_referencia_articulo,293D2FA5_2
293D2FA5_4,auto_referencia_articulo,293D2FA5_2
293D2FA5_4,auto_referencia_articulo,293D2FA5_5
293D2FA5_8,auto_referencia_articulo,293D2FA5_5
293D2FA5_8,auto_referencia_articulo,293D2FA5_8
293D2FA5_11,auto_referencia_articulo,293D2FA5_11
293D2FA5_15,auto_referencia_articulo,293D2FA5_15
293D2FA5_17,auto_referencia_articulo,293D2FA5_25
293D2FA5_17,auto_referencia_articulo,293D2FA5_27
293D2FA5_18,auto_referencia_articulo,293D2FA5_25
293D2FA5_19,auto_referencia_articulo,293D2FA5_29
293D2FA5_19,auto_referencia_articulo,293D2FA5_30
293D2FA5_19,auto_referencia_articulo,293D2FA5_24
293D2FA5_19,auto_referencia_articulo,293D2FA5_61
293D2FA5_22,auto_referencia_articulo,293D2FA5_25
293D2FA5_23,auto_referencia_articulo,293D2FA5_25
293D2FA5_27,auto_referencia_articulo,293D2FA5_35
293D2FA5_35,auto_referencia_articulo,293D2FA5_5
293D2FA5_40,auto_referencia_articulo,293D2FA5_19
293D2FA5_41,auto_referencia_articulo,293D2FA5_50
293D2FA5_46,auto_referencia_articulo,293D2FA5_42
293D2FA5_48,auto_referencia_articulo,293D2FA5_61
293D2FA5_48,auto_referencia_articulo,293D2FA5_60
293D2FA5_49,auto_referencia_articulo,293D2FA5_61
293D2FA5_52,auto_referencia_articulo,293D2FA5_61
293D2FA5_55,auto_referencia_articulo,293D2FA5_69
293D2FA5_58,auto_referencia_articulo,293D2FA5_65
293D2FA5_59,auto_referencia_articulo,293D2FA5_70
293D2FA5_59,auto_referencia_articulo,293D2FA5_55
293D2FA5_60,auto_referencia_articulo,293D2FA5_66
7259296D_2,auto_referencia_articulo,7259296D_3
7259296D_18,auto_referencia_articulo,7259296D_31
