art_id,entity_id,type_of_relation
D61F4C69_12,E8D7667E,mencion_entidad_gubernamental_oficial
D61F4C69_18,919DEC37,mencion_entidad_gubernamental_oficial
D61F4C69_18,C18252C2,mencion_entidad_gubernamental_oficial
D61F4C69_18,B14717A3,mencion_entidad_gubernamental_oficial
D61F4C69_18,26D0C577,mencion_entidad_gubernamental_oficial
D61F4C69_18,FBE3F640,mencion_entidad_gubernamental_oficial
D61F4C69_18,19AB6A9B,mencion_entidad_gubernamental_oficial
D61F4C69_18,6EA49C6C,mencion_entidad_gubernamental_oficial
D61F4C69_18,14480394,mencion_entidad_gubernamental_oficial
D61F4C69_18,2870C225,mencion_entidad_gubernamental_oficial
D61F4C69_18,50B56830,mencion_entidad_gubernamental_oficial
D61F4C69_18,109A7F07,mencion_entidad_gubernamental_oficial
D61F4C69_18,83FE9CA0,mencion_entidad_gubernamental_oficial
D61F4C69_18,8663C012,mencion_entidad_gubernamental_oficial
D61F4C69_20,19AB6A9B,mencion_entidad_gubernamental_oficial
D61F4C69_20,CE8B974F,mencion_entidad_gubernamental_oficial
D61F4C69_20,11A7BB35,mencion_entidad_gubernamental_oficial
D61F4C69_24,FBE3F640,mencion_entidad_gubernamental_oficial
D61F4C69_24,FBE3F640,mencion_entidad_gubernamental_oficial
D61F4C69_24,6EF1024A,mencion_entidad_gubernamental_oficial
D61F4C69_26,26D0C577,mencion_entidad_gubernamental_oficial
D61F4C69_26,E9B9C5D2,mencion_entidad_gubernamental_oficial
D61F4C69_26,B5B561BB,mencion_entidad_gubernamental_oficial
D61F4C69_27,E8D7667E,mencion_entidad_gubernamental_oficial
D61F4C69_28,E8D7667E,mencion_entidad_gubernamental_oficial
D61F4C69_28,E8D7667E,mencion_entidad_gubernamental_oficial
D61F4C69_28,919DEC37,mencion_entidad_gubernamental_oficial
D61F4C69_28,26D0C577,mencion_entidad_gubernamental_oficial
D61F4C69_28,E5F1F23C,mencion_entidad_gubernamental_oficial
D61F4C69_28,B419D508,mencion_entidad_gubernamental_oficial
D61F4C69_28,8663C012,mencion_entidad_gubernamental_oficial
D61F4C69_28,A05FB1D4,mencion_entidad_gubernamental_oficial
D61F4C69_28,B22E7156,mencion_entidad_gubernamental_oficial
D61F4C69_28,6EA49C6C,mencion_entidad_gubernamental_oficial
D61F4C69_30,6EF1024A,mencion_entidad_gubernamental_oficial
D61F4C69_30,6EF1024A,mencion_entidad_gubernamental_oficial
D61F4C69_30,FBE3F640,mencion_entidad_gubernamental_oficial
D61F4C69_30,358D6BAA,mencion_entidad_gubernamental_oficial
D61F4C69_38,7CC77915,mencion_entidad_gubernamental_oficial
D61F4C69_38BIS,7CC77915,mencion_entidad_gubernamental_oficial
D61F4C69_39BIS,7CC77915,mencion_entidad_gubernamental_oficial
D61F4C69_56,7CC77915,mencion_entidad_gubernamental_oficial
D61F4C69_59BIS,7CC77915,mencion_entidad_gubernamental_oficial
D61F4C69_62TER,7CC77915,mencion_entidad_gubernamental_oficial
D61F4C69_67,19AB6A9B,mencion_entidad_gubernamental_oficial
D61F4C69_67,2870C225,mencion_entidad_gubernamental_oficial
D61F4C69_78,50B56830,mencion_entidad_gubernamental_oficial
D61F4C69_80,50B56830,mencion_entidad_gubernamental_oficial
D61F4C69_85,C18252C2,mencion_entidad_gubernamental_oficial
D61F4C69_89,625ACAC7,mencion_entidad_gubernamental_oficial
D61F4C69_89,625ACAC7,mencion_entidad_gubernamental_oficial
D61F4C69_94,C18252C2,mencion_entidad_gubernamental_oficial
D61F4C69_96,109A7F07,mencion_entidad_gubernamental_oficial
D61F4C69_106,B14717A3,mencion_entidad_gubernamental_oficial
D61F4C69_106,C18252C2,mencion_entidad_gubernamental_oficial
D61F4C69_106,14480394,mencion_entidad_gubernamental_oficial
D61F4C69_106,6EA49C6C,mencion_entidad_gubernamental_oficial
D61F4C69_106,625ACAC7,mencion_entidad_gubernamental_oficial
D61F4C69_106,109A7F07,mencion_entidad_gubernamental_oficial
