art_id,type_of_relation,doc_id
2833199A_97,art_parte_doc,2833199A
2833199A_98,art_parte_doc,2833199A
2833199A_99,art_parte_doc,2833199A
2833199A_100,art_parte_doc,2833199A
2833199A_101,art_parte_doc,2833199A
2833199A_102,art_parte_doc,2833199A
2833199A_103,art_parte_doc,2833199A
2833199A_104,art_parte_doc,2833199A
2833199A_105,art_parte_doc,2833199A
2833199A_106,art_parte_doc,2833199A
2833199A_107,art_parte_doc,2833199A
2833199A_108,art_parte_doc,2833199A
2833199A_TRANS,art_parte_doc,2833199A
5C7BA6A4_1,art_parte_doc,5C7BA6A4
5C7BA6A4_2,art_parte_doc,5C7BA6A4
5C7BA6A4_3,art_parte_doc,5C7BA6A4
5C7BA6A4_4,art_parte_doc,5C7BA6A4
5C7BA6A4_5,art_parte_doc,5C7BA6A4
5C7BA6A4_6,art_parte_doc,5C7BA6A4
5C7BA6A4_7,art_parte_doc,5C7BA6A4
5C7BA6A4_8,art_parte_doc,5C7BA6A4
5C7BA6A4_9,art_parte_doc,5C7BA6A4
5C7BA6A4_10,art_parte_doc,5C7BA6A4
5C7BA6A4_11,art_parte_doc,5C7BA6A4
5C7BA6A4_12,art_parte_doc,5C7BA6A4
5C7BA6A4_13,art_parte_doc,5C7BA6A4
5C7BA6A4_14,art_parte_doc,5C7BA6A4
5C7BA6A4_15,art_parte_doc,5C7BA6A4
5C7BA6A4_TRANS,art_parte_doc,5C7BA6A4
1D958C03_1,art_parte_doc,1D958C03
1D958C03_2,art_parte_doc,1D958C03
1D958C03_3,art_parte_doc,1D958C03
1D958C03_4,art_parte_doc,1D958C03
1D958C03_5,art_parte_doc,1D958C03
1D958C03_6,art_parte_doc,1D958C03
1D958C03_7,art_parte_doc,1D958C03
1D958C03_8,art_parte_doc,1D958C03
1D958C03_9,art_parte_doc,1D958C03
1D958C03_10,art_parte_doc,1D958C03
1D958C03_11,art_parte_doc,1D958C03
1D958C03_12,art_parte_doc,1D958C03
